Order ID,Bin Nmber,QR Code,Bin Type,Status,Decommission Date,
,D1,D1,drum-bin,unallocated,20/04/2022
,D2,D2,drum-bin,unallocated,
,BB10,BB10,wheelie-bin,unallocated,
,BB11,BB11,wheelie-bin,unallocated,
,BB12,BB12,wheelie-bin,unallocated,
,930,930,wheelie-bin,unallocated,
,945,945,wheelie-bin,unallocated,
,C204,C204,wheelie-bin,unallocated,
,C205,C205,wheelie-bin,unallocated,
,C206,C206,wheelie-bin,unallocated,
,C207,C207,wheelie-bin,unallocated,
